Country,1960,1970,1980,1990,2000,2010,2020
Niger,3497431,4669708,6173177,8370648,11622665,16647543,24333639
Nigeria,44928342,55569264,72951439,95214257,122851984,160952853,208327405
Nicaragua,1789684,2444767,3303309,4227820,5123222,5855734,6755895
Netherlands,11486631,13038526,14149800,14951510,15925513,16615394,17441500
Norway,3581239,3875763,4085620,4241473,4490967,4889252,5379475
Nepal,10167941,12501285,15600442,19616530,24559500,27161567,29348627
Nauru,4582,6663,7635,9598,10377,10241,12315
New Zealand,2371800,2810700,3112900,3329800,3857700,4350700,5090200
OECD members,807630906,916668377,1018252563,1104791543,1200179492,1291001492,1370222158
Oman,536553,670693,1017462,1804524,2344253,2881914,4543399
Other small states,9080716,10967380,13944253,17806417,21437978,26565994,32381464
Pakistan,45954226,59290872,80624057,115414069,154369924,194454498,227196741
Panama,1126989,1516188,1956987,2449968,3001731,3623617,4294396
Peru,10172207,13562371,17492406,22109099,26654439,29229572,33304756
Philippines,28486871,37435586,48419546,61558898,77958223,94636700,112190977
Palau,9446,11366,12252,15293,19726,18540,17972
Papua New Guinea,1985666,2489059,3104788,3864972,5508297,7583269,9749640
Poland,29637450,32664300,35574150,38110782,38258629,38042794,37899070
Pre-demographic dividend,188484894,241726476,320890339,417144782,553089230,739525992,984213438
Puerto Rico,2358000,2718000,3206000,3537000,3810605,3721525,3281557
"Korea, Dem. People's Rep.",11655666,14996879,17973650,20799523,23367059,24686435,25867467
Portugal,8857716,8680431,9766312,9983218,10289898,10573100,10297081
Paraguay,1894829,2408787,3078912,4059195,5123819,5768613,6618695
West Bank and Gaza,,,,1978248,2922153,3786161,4803269
Pacific island small states,905537,1180979,1454737,1776243,2035672,2301401,2566819
Post-demographic dividend,755575073,839994662,909780809,964048985,1020793420,1075046427,1117424113
French Polynesia,84851,117891,163591,211089,250927,283788,301920
Qatar,36385,118007,277450,441675,645937,1713504,2760385
Romania,18406905,20250398,22207282,23201835,22442971,20246871,19265250
Russian Federation,119897000,130404000,139010000,147969407,146596869,142849468,144073139
Rwanda,2966162,3896367,5247532,7319962,8109989,10309031,13146362
South Asia,571192428,720399195,904993069,1141312704,1406945493,1660546144,1882531620
Saudi Arabia,4165563,6106191,10171710,16004763,21547390,29411929,35997107
Sudan,8326462,11305206,16673586,21090886,26298773,33739933,44440486
Senegal,3273177,4367744,5703869,7536001,9704287,12530121,16436120
Singapore,1646400,2074507,2413945,3047132,4027887,5076732,5685807
Solomon Islands,133440,172833,233668,324171,429978,540394,691191
Sierra Leone,2301310,2778557,3367477,4325388,4584067,6436698,8233970
El Salvador,2779327,3619090,4508992,5367179,5958482,6114034,6292731
San Marino,15556,18169,21346,23132,26823,31608,34007
Somalia,2870732,3720977,5892224,6999096,8721465,12026649,16537016
Serbia,6608000,6972000,7362000,7586000,7516346,7291436,6899126
